Date,Open,High,Low,Close,Adj Close,Volume,Stock
2022-08-02,114.43,117.080002,114.260002,115.900002,115.900002,17911000,Alphabet Inc. (GOOG)
2022-08-03,116.339996,119.419998,116.150002,118.779999,118.779999,25302800,Alphabet Inc. (GOOG)
2022-08-04,118.300003,119.5,117.709999,118.870003,118.870003,15757700,Alphabet Inc. (GOOG)
2022-08-05,116.93,118.860001,116.709999,118.220001,118.220001,15615700,Alphabet Inc. (GOOG)
2022-08-08,119.120003,120.860001,117.830002,118.139999,118.139999,17061100,Alphabet Inc. (GOOG)
2022-08-09,117.989998,118.199997,116.559998,117.5,117.5,15424300,Alphabet Inc. (GOOG)
2022-08-10,119.589996,121.779999,119.360001,120.650002,120.650002,20497000,Alphabet Inc. (GOOG)
2022-08-11,122.080002,122.339996,119.550003,119.82,119.82,16671600,Alphabet Inc. (GOOG)
2022-08-12,121.160004,122.650002,120.400002,122.650002,122.650002,16121100,Alphabet Inc. (GOOG)
2022-08-15,122.209999,123.260002,121.57,122.879997,122.879997,15525000,Alphabet Inc. (GOOG)
2022-08-16,122.32,123.227997,121.535004,122.510002,122.510002,15626200,Alphabet Inc. (GOOG)
2022-08-17,120.93,122.150002,120.199997,120.32,120.32,17589200,Alphabet Inc. (GOOG)
2022-08-18,120.230003,121.690002,119.550003,120.860001,120.860001,15652000,Alphabet Inc. (GOOG)
2022-08-19,119.870003,120.0,117.669998,118.120003,118.120003,20187000,Alphabet Inc. (GOOG)
2022-08-22,116.099998,116.5,114.669998,115.07,115.07,19316000,Alphabet Inc. (GOOG)
2022-08-23,114.32,115.93,114.300003,114.769997,114.769997,14390700,Alphabet Inc. (GOOG)
2022-08-24,114.449997,115.717003,113.779999,114.699997,114.699997,16051200,Alphabet Inc. (GOOG)
2022-08-25,115.150002,117.779999,115.050003,117.699997,117.699997,14874700,Alphabet Inc. (GOOG)
2022-08-26,115.809998,116.599998,111.220001,111.300003,111.300003,31698700,Alphabet Inc. (GOOG)
2022-08-29,110.779999,111.959999,109.809998,110.339996,110.339996,20386100,Alphabet Inc. (GOOG)
2022-08-30,111.029999,111.370003,108.800003,109.910004,109.910004,20548200,Alphabet Inc. (GOOG)
2022-08-31,111.629997,111.769997,109.050003,109.150002,109.150002,25898000,Alphabet Inc. (GOOG)
2022-09-01,109.199997,111.220001,108.190002,110.550003,110.550003,22784400,Alphabet Inc. (GOOG)
2022-09-02,111.339996,111.675003,108.129997,108.68,108.68,20618100,Alphabet Inc. (GOOG)
2022-09-06,108.135002,108.879997,106.510002,107.480003,107.480003,20565100,Alphabet Inc. (GOOG)
2022-09-07,107.760002,110.989998,107.614998,110.480003,110.480003,22987200,Alphabet Inc. (GOOG)
2022-09-08,109.18,110.580002,108.059998,109.419998,109.419998,21660700,Alphabet Inc. (GOOG)
2022-09-09,110.050003,112.0,110.0,111.779999,111.779999,21732900,Alphabet Inc. (GOOG)
2022-09-12,111.989998,112.639999,110.93,111.870003,111.870003,19732900,Alphabet Inc. (GOOG)
2022-09-13,108.889999,109.370003,105.0,105.309998,105.309998,33015000,Alphabet Inc. (GOOG)
2022-09-14,105.440002,106.099998,104.5,105.870003,105.870003,22115800,Alphabet Inc. (GOOG)
2022-09-15,105.010002,106.209999,103.309998,103.900002,103.900002,26494900,Alphabet Inc. (GOOG)
2022-09-16,102.970001,104.029999,101.855003,103.629997,103.629997,64540100,Alphabet Inc. (GOOG)
2022-09-19,102.540001,104.019997,102.370003,103.849998,103.849998,19738600,Alphabet Inc. (GOOG)
2022-09-20,102.879997,103.169998,101.120003,101.830002,101.830002,24001700,Alphabet Inc. (GOOG)
2022-09-21,102.239998,103.489998,99.989998,100.010002,100.010002,26596800,Alphabet Inc. (GOOG)
2022-09-22,99.449997,101.68,99.410004,100.57,100.57,21272700,Alphabet Inc. (GOOG)
2022-09-23,100.059998,100.110001,98.010002,99.169998,99.169998,25657000,Alphabet Inc. (GOOG)
2022-09-26,98.610001,100.440002,98.379997,98.809998,98.809998,22437900,Alphabet Inc. (GOOG)
2022-09-27,99.910004,100.459999,97.339996,98.089996,98.089996,24225000,Alphabet Inc. (GOOG)
2022-09-28,98.019997,101.400002,97.800003,100.739998,100.739998,24617000,Alphabet Inc. (GOOG)
2022-09-29,99.300003,99.300003,96.519997,98.089996,98.089996,21921500,Alphabet Inc. (GOOG)
2022-09-30,97.730003,99.494003,96.029999,96.150002,96.150002,26277800,Alphabet Inc. (GOOG)
2022-10-03,97.220001,99.970001,97.019997,99.300003,99.300003,24840000,Alphabet Inc. (GOOG)
2022-10-04,101.040001,102.720001,101.040001,102.410004,102.410004,22580900,Alphabet Inc. (GOOG)
2022-10-05,100.690002,102.739998,99.739998,102.220001,102.220001,18475500,Alphabet Inc. (GOOG)
2022-10-06,101.5,103.730003,101.5,102.239998,102.239998,17156200,Alphabet Inc. (GOOG)
2022-10-07,100.650002,101.419998,99.209999,99.57,99.57,24249900,Alphabet Inc. (GOOG)
2022-10-10,99.849998,99.989998,97.870003,98.709999,98.709999,16529900,Alphabet Inc. (GOOG)
2022-10-11,98.25,100.120003,97.25,98.050003,98.050003,21617700,Alphabet Inc. (GOOG)
