Date,Open,High,Low,Close,Adj Close,Volume,Stock
2022-08-02,19.48,19.620001,19.440001,19.49,19.022972,6613000,Infosys Limited (INFY)
2022-08-03,19.76,20.1,19.719999,20.1,19.618355,7339100,Infosys Limited (INFY)
2022-08-04,20.17,20.27,20.08,20.15,19.667156,8486500,Infosys Limited (INFY)
2022-08-05,20.1,20.309999,20.02,20.309999,19.823322,5790000,Infosys Limited (INFY)
2022-08-08,20.309999,20.379999,20.200001,20.27,19.784283,9722500,Infosys Limited (INFY)
2022-08-09,20.18,20.26,20.129999,20.18,19.69644,5140100,Infosys Limited (INFY)
2022-08-10,20.450001,20.6,20.309999,20.379999,19.891645,5828100,Infosys Limited (INFY)
2022-08-11,20.290001,20.42,20.1,20.15,19.667156,7446900,Infosys Limited (INFY)
2022-08-12,20.049999,20.139999,19.950001,20.110001,19.628117,4842800,Infosys Limited (INFY)
2022-08-15,20.02,20.15,20.02,20.110001,19.628117,2987500,Infosys Limited (INFY)
2022-08-16,20.049999,20.16,19.99,20.15,19.667156,7513200,Infosys Limited (INFY)
2022-08-17,20.08,20.18,19.9,20.09,19.608597,10568900,Infosys Limited (INFY)
2022-08-18,19.889999,20.049999,19.889999,19.969999,19.491468,5370900,Infosys Limited (INFY)
2022-08-19,20.040001,20.040001,19.75,19.780001,19.306023,2868500,Infosys Limited (INFY)
2022-08-22,19.48,19.620001,19.450001,19.52,19.052254,9260400,Infosys Limited (INFY)
2022-08-23,19.42,19.450001,19.25,19.25,18.788723,6669000,Infosys Limited (INFY)
2022-08-24,19.24,19.389999,19.200001,19.25,18.788723,5528700,Infosys Limited (INFY)
2022-08-25,19.129999,19.200001,19.02,19.18,18.7204,3818500,Infosys Limited (INFY)
2022-08-26,19.16,19.209999,18.620001,18.639999,18.19334,5710800,Infosys Limited (INFY)
2022-08-29,18.370001,18.469999,18.27,18.389999,17.949331,5544000,Infosys Limited (INFY)
2022-08-30,18.780001,18.780001,18.360001,18.43,17.988373,6267500,Infosys Limited (INFY)
2022-08-31,18.48,18.549999,18.299999,18.299999,17.861488,7419500,Infosys Limited (INFY)
2022-09-01,18.33,18.42,18.190001,18.42,17.978613,4480300,Infosys Limited (INFY)
2022-09-02,18.299999,18.440001,18.0,18.09,17.656519,5248800,Infosys Limited (INFY)
2022-09-06,18.139999,18.219999,17.93,17.98,17.549156,7158700,Infosys Limited (INFY)
2022-09-07,18.139999,18.450001,18.110001,18.43,17.988373,4769300,Infosys Limited (INFY)
2022-09-08,18.35,18.530001,18.280001,18.530001,18.085978,3936900,Infosys Limited (INFY)
2022-09-09,18.77,19.1,18.75,19.059999,18.603275,5513600,Infosys Limited (INFY)
2022-09-12,19.23,19.41,19.190001,19.24,18.778963,3607400,Infosys Limited (INFY)
2022-09-13,18.76,18.9,18.49,18.559999,18.115257,15227800,Infosys Limited (INFY)
2022-09-14,18.370001,18.440001,17.969999,18.08,17.646759,16757300,Infosys Limited (INFY)
2022-09-15,17.700001,17.809999,17.51,17.790001,17.36371,21950100,Infosys Limited (INFY)
2022-09-16,17.200001,17.459999,17.09,17.379999,16.963533,42686600,Infosys Limited (INFY)
2022-09-19,17.41,17.52,17.290001,17.41,16.992815,15219300,Infosys Limited (INFY)
2022-09-20,17.26,17.309999,16.950001,17.02,16.61216,18634300,Infosys Limited (INFY)
