Date,Open,High,Low,Close,Adj Close,Volume,Stock
2022-08-02,682.400024,688.950012,680.200012,685.5,677.421509,1061968,Life Insurance Corporation of India (LICI.NS)
2022-08-03,685.0,688.0,677.0,678.299988,670.306274,951585,Life Insurance Corporation of India (LICI.NS)
2022-08-04,682.0,683.450012,670.700012,673.700012,665.760498,1036357,Life Insurance Corporation of India (LICI.NS)
2022-08-05,675.0,694.950012,674.099976,687.349976,679.249634,3867024,Life Insurance Corporation of India (LICI.NS)
2022-08-08,680.349976,688.0,678.5,680.0,671.986267,1215231,Life Insurance Corporation of India (LICI.NS)
2022-08-10,682.5,687.950012,680.75,682.599976,674.555603,1133206,Life Insurance Corporation of India (LICI.NS)
2022-08-11,685.450012,689.799988,681.299988,682.650024,674.605042,1055646,Life Insurance Corporation of India (LICI.NS)
2022-08-12,683.25,687.099976,681.049988,682.400024,674.358032,867471,Life Insurance Corporation of India (LICI.NS)
2022-08-16,693.0,706.599976,691.299988,697.650024,689.428223,4029367,Life Insurance Corporation of India (LICI.NS)
2022-08-17,702.0,704.0,697.0,697.950012,689.724731,1443441,Life Insurance Corporation of India (LICI.NS)
2022-08-18,698.900024,703.5,695.0,696.25,688.0448,1010173,Life Insurance Corporation of India (LICI.NS)
2022-08-19,697.900024,698.950012,683.099976,685.950012,677.86615,1403378,Life Insurance Corporation of India (LICI.NS)
2022-08-22,684.900024,684.900024,675.0,675.299988,667.341675,1331779,Life Insurance Corporation of India (LICI.NS)
2022-08-23,674.5,678.799988,670.25,671.099976,663.191162,1053329,Life Insurance Corporation of India (LICI.NS)
2022-08-24,673.099976,683.0,672.0,676.25,668.280457,1473399,Life Insurance Corporation of India (LICI.NS)
2022-08-25,678.5,682.799988,677.049988,677.849976,671.350769,865146,Life Insurance Corporation of India (LICI.NS)
2022-08-26,680.900024,682.400024,678.049988,678.849976,672.341125,691903,Life Insurance Corporation of India (LICI.NS)
2022-08-29,670.0,674.950012,667.200012,670.150024,663.724609,1400803,Life Insurance Corporation of India (LICI.NS)
2022-08-30,673.5,676.950012,672.200012,673.5,667.04248,689256,Life Insurance Corporation of India (LICI.NS)
2022-09-01,673.0,676.849976,668.049988,668.700012,662.288452,1019021,Life Insurance Corporation of India (LICI.NS)
2022-09-02,671.0,672.900024,664.0,664.650024,658.277344,914138,Life Insurance Corporation of India (LICI.NS)
2022-09-05,666.0,669.150024,659.150024,659.799988,653.473816,1467031,Life Insurance Corporation of India (LICI.NS)
2022-09-06,662.0,663.849976,651.0,652.799988,646.540894,1984406,Life Insurance Corporation of India (LICI.NS)
2022-09-07,652.799988,655.400024,651.0,653.150024,646.887573,1236249,Life Insurance Corporation of India (LICI.NS)
2022-09-08,656.0,659.0,652.299988,653.849976,647.580811,1138616,Life Insurance Corporation of India (LICI.NS)
2022-09-09,657.799988,659.0,652.650024,653.299988,647.036133,1220396,Life Insurance Corporation of India (LICI.NS)
2022-09-12,655.0,656.75,651.599976,652.200012,645.946655,1161662,Life Insurance Corporation of India (LICI.NS)
2022-09-13,655.0,673.400024,653.5,670.25,663.823608,4249316,Life Insurance Corporation of India (LICI.NS)
2022-09-14,664.700012,678.0,662.200012,663.450012,657.088806,2467127,Life Insurance Corporation of India (LICI.NS)
2022-09-15,665.0,676.599976,660.150024,672.599976,666.151062,2899060,Life Insurance Corporation of India (LICI.NS)
2022-09-16,670.900024,671.700012,653.349976,654.799988,648.521729,1723016,Life Insurance Corporation of India (LICI.NS)
2022-09-19,658.299988,663.549988,654.0,654.75,648.472229,1004677,Life Insurance Corporation of India (LICI.NS)
2022-09-20,657.549988,665.049988,655.549988,656.349976,650.056885,927521,Life Insurance Corporation of India (LICI.NS)
2022-09-21,656.400024,659.900024,651.799988,652.450012,646.194336,920171,Life Insurance Corporation of India (LICI.NS)
2022-09-22,653.0,659.0,648.0,649.75,643.520203,1270228,Life Insurance Corporation of India (LICI.NS)
2022-09-23,651.599976,652.950012,642.0,642.799988,636.636841,1212921,Life Insurance Corporation of India (LICI.NS)
2022-09-26,640.0,641.0,629.099976,630.549988,624.504272,1072834,Life Insurance Corporation of India (LICI.NS)
2022-09-27,632.0,637.599976,628.0,628.799988,622.771057,1138955,Life Insurance Corporation of India (LICI.NS)
2022-09-28,627.75,627.75,620.25,621.450012,615.491516,845815,Life Insurance Corporation of India (LICI.NS)
2022-09-29,623.900024,626.900024,618.0,619.549988,613.609741,777577,Life Insurance Corporation of India (LICI.NS)
2022-09-30,620.25,626.400024,617.0,621.650024,615.689575,873228,Life Insurance Corporation of India (LICI.NS)
2022-10-03,622.0,625.0,619.25,620.599976,614.649658,820751,Life Insurance Corporation of India (LICI.NS)
2022-10-04,624.0,631.799988,624.0,629.299988,623.266235,776287,Life Insurance Corporation of India (LICI.NS)
2022-10-06,630.549988,635.799988,628.5,628.900024,622.870117,774273,Life Insurance Corporation of India (LICI.NS)
2022-10-07,629.0,630.0,624.0,624.5,618.512268,644846,Life Insurance Corporation of India (LICI.NS)
2022-10-10,622.700012,622.700012,618.200012,619.400024,613.461182,863600,Life Insurance Corporation of India (LICI.NS)
2022-10-11,620.700012,625.950012,618.0,619.5,613.560242,775141,Life Insurance Corporation of India (LICI.NS)
2022-10-12,621.5,622.700012,613.849976,615.650024,609.747131,700431,Life Insurance Corporation of India (LICI.NS)
2022-10-13,616.0,618.450012,611.0,611.599976,605.735962,686400,Life Insurance Corporation of India (LICI.NS)
2022-10-14,617.599976,619.049988,612.0,612.799988,606.924438,617660,Life Insurance Corporation of India (LICI.NS)
2022-10-17,612.799988,613.549988,608.0,608.75,602.91333,772169,Life Insurance Corporation of India (LICI.NS)
2022-10-18,611.0,612.400024,607.5,607.849976,602.021912,696884,Life Insurance Corporation of India (LICI.NS)
2022-10-19,608.900024,611.0,605.5,607.049988,601.229614,637868,Life Insurance Corporation of India (LICI.NS)
2022-10-20,607.549988,607.950012,600.0,601.0,595.23761,1042196,Life Insurance Corporation of India (LICI.NS)
2022-10-21,601.150024,601.150024,588.0,589.200012,583.55072,1854225,Life Insurance Corporation of India (LICI.NS)
2022-10-24,593.0,600.799988,593.0,599.799988,594.049072,457731,Life Insurance Corporation of India (LICI.NS)
2022-10-25,600.0,601.0,594.299988,595.549988,589.839783,536666,Life Insurance Corporation of India (LICI.NS)
2022-10-27,596.5,597.799988,595.0,595.549988,589.839783,651827,Life Insurance Corporation of India (LICI.NS)
2022-10-28,596.0,597.450012,591.25,592.700012,587.017151,737228,Life Insurance Corporation of India (LICI.NS)
2022-10-31,606.900024,616.799988,602.799988,603.950012,598.159302,2929385,Life Insurance Corporation of India (LICI.NS)
2022-11-01,608.950012,608.950012,603.950012,605.200012,599.397339,1013858,Life Insurance Corporation of India (LICI.NS)
2022-11-02,607.0,622.0,603.099976,619.400024,613.461182,1836761,Life Insurance Corporation of India (LICI.NS)
2022-11-03,619.0,629.0,616.0,625.650024,619.651245,1604869,Life Insurance Corporation of India (LICI.NS)
2022-11-04,628.0,630.900024,626.299988,628.049988,622.028259,662123,Life Insurance Corporation of India (LICI.NS)
2022-11-07,629.0,638.0,629.0,633.25,627.178406,1044987,Life Insurance Corporation of India (LICI.NS)
2022-11-09,635.0,637.700012,630.099976,631.299988,625.247009,626576,Life Insurance Corporation of India (LICI.NS)
2022-11-10,635.0,635.0,618.599976,620.849976,614.897217,788898,Life Insurance Corporation of India (LICI.NS)
2022-11-11,626.0,633.650024,625.049988,627.700012,621.68158,979067,Life Insurance Corporation of India (LICI.NS)
2022-11-14,663.950012,684.900024,658.299988,664.650024,658.277344,8854572,Life Insurance Corporation of India (LICI.NS)
2022-11-15,665.0,672.299988,650.0,654.700012,648.422729,2112529,Life Insurance Corporation of India (LICI.NS)
2022-11-16,652.0,655.0,640.0,642.650024,636.48822,1364241,Life Insurance Corporation of India (LICI.NS)
2022-11-17,639.0,649.25,637.549988,643.849976,637.676758,1211174,Life Insurance Corporation of India (LICI.NS)
2022-11-18,643.0,646.0,636.700012,638.799988,632.675171,750739,Life Insurance Corporation of India (LICI.NS)
2022-11-21,639.900024,640.299988,625.299988,627.049988,621.037842,880089,Life Insurance Corporation of India (LICI.NS)
2022-11-22,625.0,633.799988,624.0,625.799988,619.799805,996001,Life Insurance Corporation of India (LICI.NS)
2022-11-23,627.0,629.0,620.049988,621.200012,615.243958,914416,Life Insurance Corporation of India (LICI.NS)
2022-11-24,623.0,631.0,623.0,624.25,618.264648,1199253,Life Insurance Corporation of India (LICI.NS)
2022-11-25,627.349976,630.75,626.700012,627.75,621.731079,803958,Life Insurance Corporation of India (LICI.NS)
2022-11-28,628.0,633.25,627.75,629.799988,623.761475,823562,Life Insurance Corporation of India (LICI.NS)
2022-11-29,629.0,643.400024,629.0,636.799988,630.694336,1571328,Life Insurance Corporation of India (LICI.NS)
