Date,Open,High,Low,Close,Adj Close,Volume,Stock
2022-08-08,7.105,8.585,7.0475,8.8375,8.8375,436,Leverage Shares 3x Short Nvidia (NVDA) ETP Securities (NV3S.L)
2022-08-09,9.4725,9.4725,9.4725,9.48125,9.48125,60,Leverage Shares 3x Short Nvidia (NVDA) ETP Securities (NV3S.L)
2022-08-10,8.3325,8.3325,8.3325,8.3325,8.3325,0,Leverage Shares 3x Short Nvidia (NVDA) ETP Securities (NV3S.L)
2022-08-11,7.8075,7.85,7.2875,7.58,7.58,6735,Leverage Shares 3x Short Nvidia (NVDA) ETP Securities (NV3S.L)
2022-08-12,7.545,7.545,7.545,7.3,7.3,1,Leverage Shares 3x Short Nvidia (NVDA) ETP Securities (NV3S.L)
2022-08-15,6.90375,6.90375,6.90375,6.90375,6.90375,0,Leverage Shares 3x Short Nvidia (NVDA) ETP Securities (NV3S.L)
2022-08-16,8.04988,8.04988,8.04988,6.83125,6.83125,114,Leverage Shares 3x Short Nvidia (NVDA) ETP Securities (NV3S.L)
2022-08-17,7.45875,7.45875,7.45875,7.45875,7.45875,0,Leverage Shares 3x Short Nvidia (NVDA) ETP Securities (NV3S.L)
2022-08-18,6.79625,6.79625,6.79625,6.79625,6.79625,0,Leverage Shares 3x Short Nvidia (NVDA) ETP Securities (NV3S.L)
2022-08-19,7.6325,7.6325,7.6325,7.72875,7.72875,185,Leverage Shares 3x Short Nvidia (NVDA) ETP Securities (NV3S.L)
2022-08-22,8.7225,8.7225,8.7225,8.7225,8.7225,0,Leverage Shares 3x Short Nvidia (NVDA) ETP Securities (NV3S.L)
2022-08-23,8.895,8.895,8.6825,8.54,8.54,372,Leverage Shares 3x Short Nvidia (NVDA) ETP Securities (NV3S.L)
2022-08-24,8.73,8.84,8.6025,8.44875,8.44875,1078,Leverage Shares 3x Short Nvidia (NVDA) ETP Securities (NV3S.L)
2022-08-25,9.445,9.62,8.665,7.98375,7.98375,2883,Leverage Shares 3x Short Nvidia (NVDA) ETP Securities (NV3S.L)
2022-08-26,7.82,8.015,7.7375,8.8625,8.8625,604,Leverage Shares 3x Short Nvidia (NVDA) ETP Securities (NV3S.L)
2022-08-30,10.005,11.145,8.93345,11.2275,11.2275,2641,Leverage Shares 3x Short Nvidia (NVDA) ETP Securities (NV3S.L)
2022-08-31,11.79,11.79,11.79,12.0175,12.0175,243,Leverage Shares 3x Short Nvidia (NVDA) ETP Securities (NV3S.L)
2022-09-01,16.23,16.23,16.23,16.23,16.23,0,Leverage Shares 3x Short Nvidia (NVDA) ETP Securities (NV3S.L)
2022-09-02,14.675,15.575,14.65,14.7025,14.7025,380,Leverage Shares 3x Short Nvidia (NVDA) ETP Securities (NV3S.L)
2022-09-05,15.71,15.71,15.49,15.5225,15.5225,200,Leverage Shares 3x Short Nvidia (NVDA) ETP Securities (NV3S.L)
2022-09-06,16.02,16.02,14.1538,15.7175,15.7175,190,Leverage Shares 3x Short Nvidia (NVDA) ETP Securities (NV3S.L)
2022-09-07,16.004999,16.004999,16.004999,16.004999,16.004999,0,Leverage Shares 3x Short Nvidia (NVDA) ETP Securities (NV3S.L)
2022-09-08,15.415,15.64,14.44,14.5475,14.5475,1225,Leverage Shares 3x Short Nvidia (NVDA) ETP Securities (NV3S.L)
2022-09-09,13.685,13.71,13.335,13.205,13.205,2070,Leverage Shares 3x Short Nvidia (NVDA) ETP Securities (NV3S.L)
2022-09-12,13.14,13.475,13.14,13.2475,13.2475,554,Leverage Shares 3x Short Nvidia (NVDA) ETP Securities (NV3S.L)
2022-09-13,15.61,15.69758,15.61,15.7375,15.7375,124,Leverage Shares 3x Short Nvidia (NVDA) ETP Securities (NV3S.L)
2022-09-14,16.625,16.625,16.625,16.5975,16.5975,130,Leverage Shares 3x Short Nvidia (NVDA) ETP Securities (NV3S.L)
2022-09-15,16.705,17.52,16.375,17.245001,17.245001,3878,Leverage Shares 3x Short Nvidia (NVDA) ETP Securities (NV3S.L)
2022-09-16,18.055,18.125,18.055,17.5275,17.5275,2781,Leverage Shares 3x Short Nvidia (NVDA) ETP Securities (NV3S.L)
2022-09-20,16.0,17.00716,16.0,15.4675,15.4675,60,Leverage Shares 3x Short Nvidia (NVDA) ETP Securities (NV3S.L)
2022-09-21,14.9625,14.9625,14.9625,14.9625,14.9625,0,Leverage Shares 3x Short Nvidia (NVDA) ETP Securities (NV3S.L)
2022-09-22,16.4,17.245001,16.4,18.307501,18.307501,3301,Leverage Shares 3x Short Nvidia (NVDA) ETP Securities (NV3S.L)
