Date,Open,High,Low,Close,Adj Close,Volume,Stock
2022-08-08,466.0,471.899994,464.450012,468.25,466.795135,10561754,Tata Motors Limited (TATAMOTORS.NS)
2022-08-10,470.0,477.200012,463.350006,475.549988,474.072449,13360759,Tata Motors Limited (TATAMOTORS.NS)
2022-08-11,482.549988,485.0,475.600006,476.649994,475.169037,12777503,Tata Motors Limited (TATAMOTORS.NS)
2022-08-12,475.75,481.450012,470.0,477.549988,476.066223,13482890,Tata Motors Limited (TATAMOTORS.NS)
2022-08-16,479.600006,491.399994,478.200012,489.850006,488.328033,16796376,Tata Motors Limited (TATAMOTORS.NS)
2022-08-17,490.899994,494.399994,484.200012,485.399994,483.891846,15948755,Tata Motors Limited (TATAMOTORS.NS)
2022-08-18,484.0,486.799988,479.25,484.799988,483.293701,12070974,Tata Motors Limited (TATAMOTORS.NS)
2022-08-19,486.75,488.100006,468.100006,471.0,469.536591,16636593,Tata Motors Limited (TATAMOTORS.NS)
2022-08-22,468.5,468.950012,452.549988,454.600006,453.187561,15050653,Tata Motors Limited (TATAMOTORS.NS)
2022-08-23,449.0,462.100006,447.600006,460.450012,459.019379,17779238,Tata Motors Limited (TATAMOTORS.NS)
2022-08-24,459.0,464.899994,457.700012,463.200012,461.760834,12214113,Tata Motors Limited (TATAMOTORS.NS)
2022-08-25,466.0,468.799988,457.399994,459.200012,457.773285,11255809,Tata Motors Limited (TATAMOTORS.NS)
2022-08-26,465.0,470.450012,463.950012,465.049988,463.605072,11252560,Tata Motors Limited (TATAMOTORS.NS)
2022-08-29,451.0,456.899994,450.149994,453.350006,451.941437,11647725,Tata Motors Limited (TATAMOTORS.NS)
2022-08-30,458.649994,472.399994,457.100006,471.100006,469.636292,14421066,Tata Motors Limited (TATAMOTORS.NS)
2022-09-01,462.5,474.399994,462.149994,466.899994,465.449341,13385159,Tata Motors Limited (TATAMOTORS.NS)
2022-09-02,470.850006,471.799988,460.149994,461.75,460.315338,10806707,Tata Motors Limited (TATAMOTORS.NS)
