Date,Open,High,Low,Close,Adj Close,Volume,Stock
2022-08-08,8910.0,8942.0,8748.0,8937.5,8937.125,1006.0,Toyota Motor Corporation (TM.BA)
2022-08-09,8950.5,8950.5,8790.0,8820.0,8819.629883,108.0,Toyota Motor Corporation (TM.BA)
2022-08-10,9050.0,9100.0,8997.0,9090.0,9089.618164,759.0,Toyota Motor Corporation (TM.BA)
2022-08-11,9120.0,9245.0,9070.0,9070.0,9069.619141,228.0,Toyota Motor Corporation (TM.BA)
2022-08-12,9116.0,9255.0,9116.0,9237.5,9237.112305,85.0,Toyota Motor Corporation (TM.BA)
2022-08-16,9150.0,9157.0,8945.0,8983.0,8982.623047,187.0,Toyota Motor Corporation (TM.BA)
2022-08-17,9036.5,9295.0,9036.5,9202.5,9202.114258,100.0,Toyota Motor Corporation (TM.BA)
2022-08-18,9159.5,9358.0,9159.5,9358.0,9357.607422,47.0,Toyota Motor Corporation (TM.BA)
2022-08-19,9439.5,9513.0,9396.0,9430.0,9429.604492,137.0,Toyota Motor Corporation (TM.BA)
2022-08-22,9395.0,9407.0,9195.5,9205.5,9205.113281,1219.0,Toyota Motor Corporation (TM.BA)
2022-08-23,9253.0,9279.0,9195.0,9195.0,9194.614258,1005.0,Toyota Motor Corporation (TM.BA)
2022-08-24,9260.0,9353.0,9250.0,9250.0,9249.612305,75.0,Toyota Motor Corporation (TM.BA)
2022-08-25,9228.0,9324.5,9228.0,9258.5,9258.111328,94.0,Toyota Motor Corporation (TM.BA)
2022-08-26,9012.5,9012.5,8928.5,8944.0,8943.625,74.0,Toyota Motor Corporation (TM.BA)
2022-08-29,8900.0,9012.0,8808.5,8960.5,8960.124023,75.0,Toyota Motor Corporation (TM.BA)
2022-08-30,8894.5,8919.0,8799.5,8894.0,8893.626953,102.0,Toyota Motor Corporation (TM.BA)
2022-08-31,8879.5,8970.5,8808.0,8850.5,8850.128906,92.0,Toyota Motor Corporation (TM.BA)
2022-09-01,8720.0,8720.0,8520.0,8524.5,8524.142578,184.0,Toyota Motor Corporation (TM.BA)
2022-09-05,9000.0,9000.0,9000.0,9000.0,8999.62207,6.0,Toyota Motor Corporation (TM.BA)
2022-09-06,8270.0,8270.0,8136.5,8167.5,8167.157227,191.0,Toyota Motor Corporation (TM.BA)
2022-09-07,8000.0,8120.0,8000.0,8103.0,8102.660156,248.0,Toyota Motor Corporation (TM.BA)
2022-09-08,8103.0,8214.0,8103.0,8191.5,8191.15625,101.0,Toyota Motor Corporation (TM.BA)
2022-09-09,8233.0,8260.5,8156.0,8173.0,8172.657227,98.0,Toyota Motor Corporation (TM.BA)
2022-09-12,8173.0,8173.0,8115.0,8117.0,8116.65918,461.0,Toyota Motor Corporation (TM.BA)
2022-09-13,7977.0,8026.0,7866.0,7866.0,7865.669922,22.0,Toyota Motor Corporation (TM.BA)
2022-09-14,8033.0,8061.5,7981.5,8032.5,8032.163086,51.0,Toyota Motor Corporation (TM.BA)
2022-09-15,8104.0,8326.5,8104.0,8303.5,8303.151367,40.0,Toyota Motor Corporation (TM.BA)
2022-09-16,8353.5,8512.0,8353.5,8512.0,8511.642578,48.0,Toyota Motor Corporation (TM.BA)
2022-09-19,8428.5,8638.5,8428.5,8603.0,8602.638672,404.0,Toyota Motor Corporation (TM.BA)
2022-09-20,8603.0,8603.0,8404.5,8404.5,8404.147461,603.0,Toyota Motor Corporation (TM.BA)
2022-09-21,8405.0,8577.0,8405.0,8462.0,8461.644531,613.0,Toyota Motor Corporation (TM.BA)
2022-09-22,8644.5,8708.5,8583.5,8699.5,8699.134766,480.0,Toyota Motor Corporation (TM.BA)
2022-09-23,8630.5,8694.5,8521.5,8546.0,8545.641602,27.0,Toyota Motor Corporation (TM.BA)
2022-09-26,8624.5,8624.5,8372.0,8394.0,8393.647461,570.0,Toyota Motor Corporation (TM.BA)
2022-09-27,8454.0,8454.0,8227.0,8371.5,8371.148438,23.0,Toyota Motor Corporation (TM.BA)
2022-09-28,8364.5,8399.5,8364.5,8399.0,8398.647461,38.0,Toyota Motor Corporation (TM.BA)
2022-09-29,8220.0,8220.0,8118.0,8118.0,8118.0,26.0,Toyota Motor Corporation (TM.BA)
2022-09-30,8050.5,8117.5,8050.5,8052.0,8052.0,12.0,Toyota Motor Corporation (TM.BA)
2022-10-03,8308.0,8417.5,8282.5,8417.5,8417.5,70.0,Toyota Motor Corporation (TM.BA)
2022-10-04,8652.0,8686.5,8594.5,8647.5,8647.5,1588.0,Toyota Motor Corporation (TM.BA)
2022-10-05,8532.5,8634.5,8532.5,8634.5,8634.5,80.0,Toyota Motor Corporation (TM.BA)
2022-10-06,8548.5,8548.5,8366.5,8390.5,8390.5,570.0,Toyota Motor Corporation (TM.BA)
2022-10-11,8310.5,8382.0,8260.0,8298.5,8298.5,126.0,Toyota Motor Corporation (TM.BA)
2022-10-12,8299.0,8364.5,8280.5,8324.5,8324.5,95.0,Toyota Motor Corporation (TM.BA)
2022-10-13,8234.5,8582.0,8234.5,8555.0,8555.0,124.0,Toyota Motor Corporation (TM.BA)
2022-10-14,8535.0,8535.0,8370.0,8417.5,8417.5,37.0,Toyota Motor Corporation (TM.BA)
